CurrencySymbol,CurrencyName,Explorer,Decimals,PARTNER,Other
bKIT,DexKit,https://bscscan.com/token/0x314593fa9a2fa16432913dbccc96104541d32d11,18,<@716770703537340438>,
BLK,BlackCoin,https://coinmarketcap.com/currencies/blackcoin/,8,,
BLOODYAXE,LizziesBloodyAxe,https://hive-engine.com/trade/BLOODYAXE,0,<@936228988374908948>,
bLOTTO,Lotto,https://bscscan.com/token/0xf301c8435d4dfa51641f71b0615add794b52c8e9,18,,
BLUNA,Bonded Luna,https://app-classic.terraswap.io/pairs/terra1qs0zjzd6j0kwrwwf2qj5kmqqhav5ygq3q7p8s7,6,,
BLURT,Blurt,https://coinmarketcap.com/currencies/blurt/,3,,
BMON,Binamon,https://bscscan.com/token/0x08ba0619b1e7a582e0bce5bbe9843322c954c340,18,,
BNB,BNB,https://coinmarketcap.com/currencies/bnb/,18,,
BNJ,Binjit Coin,https://binjitcoin.com/,8,,
BNT,Bancor Network Token,https://etherscan.io/token/0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18,,
BOMB,Bomb,https://etherscan.io/token/0x1C95b093d6C236d3EF7c796fE33f9CC6b8606714,0,,
BONES,Bones,https://etherscan.io/token/0x3a75731f9e16244de01dd431636db7c07d42a166,4,,
BOOM,Dogs Unchained,https://etherscan.io/token/0x1f17996beacc0803841d5f8cecc753e688fb5084,18,,
BOOMC,BoomCoin,https://bscscan.com/token/0x761684e229f04ce8985b49e3beb1cd994c776a21,18,,
BPC,BloodyPercent,https://etherscan.io/token/0xf21d65979bd89b28f05ef19f3c65dd2a1d02946d,4,,
bPUSSY,Pussy Financial,https://bscscan.com/token/0xd9e8d20bde081600fac0d94b88eafaddce55aa43,18,,
BRIGHT,Bright on Gnosis,https://gnosisscan.io/token/0x83FF60E2f93F8eDD0637Ef669C69D5Fb4f64cA8E,18,,
BRIX,Brix Token,https://polygonscan.com/token/0xabffedaf784dc40a4c1947f9d5ddb3afe2075353,18,,NO LIQUIDITY
brkl,Rickle,https://bscscan.com/token/0xeCa15e1BbFF172D545Dd6325F3Bae7b737906737,18,<@696000898568028170>,
BRX,Brix Society,https://wax.alcor.exchange/swap?output=BRIX-brixbrixtoke,4,,
BSCBACON,BaconDAO,https://bscscan.com/token/0x0615Dbba33Fe61a31c7eD131BDA6655Ed76748B1,18,<@749642709081260133>,
BSGG,Betswap.gg,https://snowtrace.io/token/0x63682bdc5f875e9bf69e201550658492c9763f89,18,,
BSV,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,8,,
bTBB,Trade Butler Bot,https://bscscan.com/token/0xb1ac5dac9099fda18390901371ce03c5ec637c89,18,,
BTC,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,8,,
BTCZ,BitcoinZ,https://coinmarketcap.com/currencies/bitcoinz/,8,<@426842722436120577>,
BTG,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,8,,
BTLLR,Betller Coin,https://www.coingecko.com/en/coins/betller-coin,8,,
BTQ,Boutique72,https://etherscan.io/token/0xfa5551c53bd847cecbaef93e34909e5d4551b5da,18,,
bTR3B,TR3B-Manta,https://bscscan.com/token/0xB6Ace1349339E4f5D2c6962Fa8e328D1Dd22E18F,8,,
BTTOLD,BitTorrent,https://www.coingecko.com/en/coins/bittorrent-old,6,,
BUGZ,CryptoCrawlerz,https://etherscan.io/token/0x6b023c1e3a860050ee3e608357aae86a113b70f9,18,,
BUSD,Binance USD,https://bscscan.com/token/0xe9e7cea3dedca5984780bafc599bd69add087d56,18,,
BUZZ,Buzz,https://etherscan.io/token/0x00d270d9a41886a8e6e433911ae2f7d257b60051,4,,
BXMI,Bxmi Token,https://etherscan.io/token/0xa0f5505dC06eBE8Ee8CbdC2059eaDE0b9F35cbC2,18,,
BYND,Beyondcoin,https://coinmarketcap.com/currencies/beyondcoin/,8,,
CAKE,PancakeSwap,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,,
CAMO,CAMO,https://etherscan.io/token/0xe86a746330b0b691323d2cbb5c140f77d7f198a4,4,,
CANNACOIN,Stellar Cannacoin,https://lobstr.co/trade/native/CANNACOIN:GBLJ4223KUWIMV7RAPQKBA7YGR4I7H2BIV4KIMMXMQWYQBOZ6HLZR3RQ,7,<@834291952852664351>,
CAPT,Captain Token,https://bscscan.com/token/0xdf5301b96ceccb9c2a61505b3a7577111056a4c5,9,,
CARD,Cardstack,https://etherscan.io/token/0x954b890704693af242613edef1b603825afcd708,18,,
CASS,CassinoCoin,https://polygonscan.com/token/0x7af8eBca3EC282C03e4029B848AF7dCFc5fa1E0c,9,,
CBL,CherryBlossom,https://polygonscan.com/token/0xf35a85c493c49f19bcc176e718865b148958a130,18,,
CCC,Cross Chain Capital,https://snowtrace.io/token/0x4939b3313e73ae8546b90e53e998e82274afdbdb,9,,
CDS,Crypto Development Services,https://bscscan.com/token/0x23f07a1c03e7c6d0c88e0e05e79b6e3511073fd5,8,<@665504410931036170>,
CDY,Bitcoin Candy,https://cdy.one/,5,<@859136124444999690>,
CFXQ,CFXQ on Gnosis,https://gnosisscan.io/token/0x64b17a95e6C45306FB23Bc526eB2dc9E1331a1b1,6,,
CHEDR,Cheddar,https://etherscan.io/token/0x48a4a3c9dfeee6dba98a20895ec7a2cb40b3fa7f,18,<@749642709081260133>,
CHEER,Cheer,https://etherscan.io/token/0xdFCBB34cda9592b2138f700601A86C70d5E72a60,18,,
CHERRY,Cherry,https://etherscan.io/token/0x4eCB692B0fEDeCD7B486b4c99044392784877E8C,4,,
CHIZ,Sewer Rat Social Club CHIZ Token,https://etherscan.io/token/0x5c761c1a21637362374204000e383204d347064c,18,,
CHL,ChallengeDAC,https://coinmarketcap.com/currencies/challengedac/,4,,
CHP,CoinPoker,https://polygonscan.com/token/0x59B5654a17Ac44F3068b3882F298881433bB07Ef,18,,
CIC,Crazy Internet Coin,https://coinmarketcap.com/currencies/crazy-internet-coin/,18,,
CLAM,OtterClam,https://polygonscan.com/token/0xC250e9987A032ACAC293d838726C511E6E1C029d,9,,
CLOUDT,CloudClout,https://etherscan.io/token/0x9621bad6e7e2b9758349ddcb308df7f63fd46668,4,,
CMK,Credmark,https://etherscan.io/token/0x68cfb82eacb9f198d508b514d898a403c449533e,18,,
CNG,Changer,https://etherscan.io/token/0x5c1d9aa868a30795f92fae903edc9eff269044bf,18,,
CNJ,Conjure,https://etherscan.io/token/0x00a55375002f3cda400383f479e7cd57bad029a9,18,,
COCKTAIL,Cocktail,https://bscscan.com/token/0x10f292a6e694c38c5d570127da445143a2d882f3,18,,
COIN,Coin Artist,https://etherscan.io/token/0x87b008E57F640D94Ee44Fd893F0323AF933F9195,18,,
COMBO,Furucombo,https://polygonscan.com/token/0x6ddb31002abc64e1479fc439692f7ea061e78165,18,,
COMFY,Comfy Token,https://bscscan.com/token/0xC737B44CB0Aa18815a1F6918EB338dEe7e7E6bD7,9,,
COMP,Compound,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888,18,,
COTK,Colligo Token,https://bscscan.com/token/0xea738b6f1C888B2eCed0faD66918DEfeFE7C4494,18,,
CREDS,Creds,https://etherscan.io/token/0xc13F4F0F865bAc08F62654B57E38669EbC4747a3,18,,
cSWIX,CouponSWIX,https://polygonscan.com/token/0x80b454e806e29f052090aa18cd7380f42a11901d,18,,
